GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.5HG0412730,-1.7241594172129837,2.359967612713831,36.93799643206068,5.8851084826309615e-5,0.002162597943327774,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0412830,-3.231375133860722,0.3667729841385628,11.306764433171018,0.0057590979515591105,0.03476085932563786,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0413090,1.0361513612281839,6.072365855599032,11.52440099075408,0.005428566404328031,0.03360580938436865,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0413340,-1.0356963622864184,5.800435137381905,28.049290131565584,1.9933190768044667e-4,0.004297938252723477,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0413410,-1.1050279809281711,2.1902448544711453,22.719465690468866,4.784171392555624e-4,0.007248092623692253,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0413440,1.339338193455452,6.186620122049185,29.808764827690172,1.533165968488067e-4,0.0036412314124505754,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0413690,1.755956668939144,2.8298933970931572,28.76337293248336,1.789359856052345e-4,0.004019972850885165,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0413910,2.1779779659762144,2.9954129930084616,19.096418011085493,9.446190165613127e-4,0.010781716862323392,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414050,5.185320905159883,5.500165505336618,77.61304184292905,1.541788645140655e-6,4.107436301645917e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414060,5.661982784734067,4.489464196577439,45.78075288806153,2.1543248553468047e-5,0.0012759743234149895,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414070,6.553454459700174,-2.1223026382404,18.42896745177062,0.0016455466742421097,0.01542884019030739,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414100,1.4193959336624922,3.584873439123021,12.746107641075907,0.003938787719772319,0.027198363021151868,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414110,2.6314058565614182,7.010797380269288,72.2045318164383,2.2384667663690507e-6,4.662089343165361e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414380,1.0315705815473946,5.058132492743816,13.675852593884906,0.003121503591418084,0.023202887935468496,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414480,1.28415111189369,2.9922358461045624,24.547462687076692,3.490465996654731e-4,0.006031625327265874,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414630,1.9841674901520987,-0.29980288680753586,10.37388212582465,0.007473824781951678,0.04140962292739691,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414770,2.206246988480327,7.999290516709935,51.102731797386404,1.2663809489895256e-5,9.570871178961179e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414810,1.1957623475368861,1.7838478639368325,9.774605889354328,0.008894737773614174,0.04650115122734551,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414820,1.1788172357163382,2.757926498899476,10.128080047886499,0.008021636525790158,0.04350271543097808,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0414870,-1.2384880353260825,9.137051115879352,41.95154283846977,3.260143606457124e-5,0.001559305987643957,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0414960,9.407424325651592,0.24133306531965223,36.34427023619396,1.3695380078200347e-4,0.0033722250476516604,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0415180,1.276426379491533,6.542063039946455,26.235144867426687,2.646747129554673e-4,0.005145361798793948,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0415540,2.4896683385813474,2.6239258954628415,29.359067375263184,1.637724167351689e-4,0.0037897358041587706,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0415660,1.5597809074525515,4.425771847779087,31.815047268227467,1.152257024130963e-4,0.0030760030812514946,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0415670,1.2826612823760617,4.303482608302641,10.615824457973092,0.006977173404337843,0.039398393554689166,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0415860,1.4422441024652295,2.5447061291230715,21.208365639003542,6.293082792931914e-4,0.00850342229856596,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0416060,2.734102949100552,0.8859184309786409,23.776377416168454,3.978700153454943e-4,0.006471797871643158,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0416140,2.2073716932285583,2.296306263091506,28.74805310656196,1.7934712311945571e-4,0.004021713255737302,GABA v.s. Control,Up
